OriginalContentRepo,OriginalContentBranch
microsoftdocs/intellicode-pr,live
dotnet/aspnetcore.docs,live
microsoftdocs/azure-sphere-rest-api,live
microsoftdocs/office-developer-managed-sip-api-ref-dotnet,live
microsoftdocs/mimdocs-pr,live
microsoftdocs/webvr,live
microsoftdocs/nav-docs-powershell,live
microsoftdocs/officedocs-connectivityanalyzer-pr,live
microsoftdocs/officedocs-customlearning-pr,live
microsoftdocs/universal-print-pr,live
microsoftdocs/windowsserver-systeminsights-pr,live
microsoftdocs/labs-pr,live
microsoftdocs/windows-release-pr,live
microsoftdocs/hpc-docs-powershell,live
officedev/open-xml-docs,live
microsoftdocs/devices-docs-pr,live
microsoftdocs/blog,live
microsoftdocs/windows-iotcore-docs,live
microsoftdocs/fslogix-docs-pr,live
microsoftdocs/open_specs_sql,live
microsoftdocs/system-center-managed-reference-pr,live
officedev/msteams-client-docs-ref-typescript,live
microsoftdocs/officeedu-pr,live
microsoftdocs/edge-developer,live
dotnet/entityframework.docs,live
microsoftdocs/dynamics365hubpages,live
microsoftdocs/msix-pr,live
microsoftdocs/office-developer-infopath-external-automation-ref-dotnet,live
microsoftdocs/dynamicsax2012-technet,live
dotnet/csharplang,master
dotnet/vblang,master
microsoftdocs/azurepack-docs-powershell,live
microsoftdocs/his-reference,live
microsoftdocs/csharp-quantum,live
dotnet/microsoft.data.sqlite.apidocs,live
microsoftdocs/azure-digitaltwins-rest-api,live
microsoftdocs/office-developer-o365-service-communications-ref-dotnet,live
microsoftdocs/windows-insider-pr,live
dotnet/entityframework.apidocs,live
microsoftdocs/office-developer-exchange-ews-proxy-ref-dotnet,live
microsoftdocs/ai-builder-pr,live
microsoftdocs/forms-pro-pr,live
microsoftdocs/azure-blockchain-workbench-docs-rest-apis,live
microsoftdocs/azure-iot-c-sdk-reference,live
microsoftdocs/signalr-script-pr,live
microsoftdocs/emdocs-pr,live
microsoftdocs/jupyter-dotnet-pr,live
microsoftdocs/common-data-model-pr,live
microsoftdocs/partner-rest-pr,live
microsoftdocs/open_specs_blog,live
microsoftdocs/playfab-docs-rest-apis,live
dotnet/ml-api-docs,live
microsoftdocs/vscodespaces-pr,live
officedev/office-js-docs-pr,live
microsoftdocs/memdocs-pr,live
microsoftdocs/officedocs-pr,live
microsoftdocs/partner-center-docs-powershell,live
microsoft/partner-center-powershell,master
microsoftdocs/azure-docs-cpp-cognitive-services-pr,live
dotnet/aspnetapidocs,live
microsoftdocs/partner-center-java-docs,live
microsoftdocs/enterprise-threat-detection,live
microsoftdocs/bing-webmaster-docs-pr,live
microsoftdocs/officedocs-exchange-pr,live
microsoftdocs/adalref-pr,live
microsoftdocs/office-developer-infopath-form-templates-ref-dotnet,live
xamarin/xamarin.forms-api-docs,live
microsoftdocs/partner-center-sdk-pr,live
microsoftdocs/bingads-docs-dotnet,live
aspnet/apidocs,live
microsoftdocs/bot-docs,live
aspnet/entityframework.apidocs,live
microsoftdocs/azure-stack-docs-pr,live
microsoftdocs/windows-ai-docs,live
microsoftdocs/azure-interactive-pr,live
microsoftdocs/linkedin-api-docs,live
ops-e2e-prod/e2e_docsetredirect_prod,live
aspnet/javaapidocs,live
microsoftdocs/azure-devops-extensions,live
microsoftdocs/officedocs-enterprise-pr,live
microsoftdocs/officedocs-pr,15742d951939d27310a1c2df4481550129a001cf
microsoftdocs/intuneedu-pr,live
microsoftdocs/officedocs-pr,9ba626a6918f65b7180b7382a32465d6022e1592
